3070   	,	fred  	,	2023-02-07
450   	,	JHOSE  	,	2023-02-07
1240   	,	hector  	,	2023-02-07
780   	,	mario  	,	2023-02-07
450   	,	pepe  	,	2023-02-07
890   	,	jonas  	,	2023-02-07
5260   	,	Johnny Roca  	,	2023-02-09
5260   	,	Johnny Roca  	,	2023-02-09
370   	,	  	,	2023-02-09
0   	,	  	,	2023-02-09
0   	,	  	,	2023-02-09
2350   	,	  	,	2023-02-09
3980   	,	JOHNNY  	,	2023-02-09
3170   	,	  	,	2023-02-09
860   	,	  	,	2023-02-09
1010   	,	Johnny  	,	2023-02-10
